route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
90,52,А01,м. Дубляни - пл. Галицька,,3,,556b2f,556b2f
92,52,А02,Городоцька - Університет,,3,,556b2f,556b2f
94,52,А03,ТРЦ Кінг Кросс - пл. Різні,,3,,556b2f,556b2f
98,148,А17,вул. Рудненська - вул. Щурата,,3,,28ffff,28ffff
99,52,А08-А,вул. Зернова - смт. Брюховичі вул. Івасюка,,3,,FFFFFF,FFFFFF
100,31,А07,вул. Чигиринська - вул. Скрипника,,3,,FFFFFF,FFFFFF
102,52,А47,Санта Барбара - Рясне-2,,3,,556b2f,556b2f
106,52,А10,ТРЦ Кінг Кросс - Залізничний вокзал,,3,,556b2f,556b2f
108,31,А11,пр. Червоної Калини - вул. Величковського,,3,,556b2f,556b2f
109,52,А19,вул. Антонича - вул. Пасічна - вул. Миколайчука,,3,,556b2f,556b2f
110,52,А60,ст. Підзамче - с. Ситихів,,3,,556b2f,556b2f
111,52,А36а,м. Винники вул. Івасюка - вул. Кільцева,,3,,,
112,52,А16,вул. Сихівська - Залізничний вокзал,,3,,556b2f,556b2f
113,31,А14,вул. Антонича - Городоцька-Кільцева,,3,,556b2f,556b2f
114,32,А59,ст. Підзамче - с. Зарудці,,3,,556b2f,556b2f
115,52,А05,пл. Різні - м. Винники вул. Забава,,3,,556b2f,556b2f
117,52,А52,смт. Рудно - вул. Варшавська,,3,,556b2f,556b2f
119,31,А27,Скнилів - Личаківська АС-6,,3,,556b2f,556b2f
121,32,А23,вул. Суботівська - вул. Тракт Глинянський,,3,,FFFFFF,FFFFFF
122,32,А58,ст. Підзамче - с. Завадів,,3,,556b2f,556b2f
123,52,А32,пр. Червоної Калини - Залізничний вокзал,,3,,556b2f,
124,31,А33,Південний - Університет,,3,,556b2f,
126,52,А37,вул. Під Голоском - вул. Хоткевича,,3,,556b2f,556b2f
127,10,А38,Університет - Пульмонологічний центр,,3,,556b2f,556b2f
128,52,А20,вул. Суботівська - вул. Польова,,3,,000000,000000
130,32,А44,ТРЦ Вікторія Гарденс - вул. Медової Печери,,3,,556b2f,556b2f
131,52,А45,ТЦ Вікторія Гарденс - пл. Галицька,,3,,556b2f,556b2f
